broker,msg_size,target_rate,duration,sent,received,lost,received_per_sec,avg_ms,p50_ms,p95_ms,p99_ms,max_ms,producer_errors
rabbitmq,128,1000,30,28900,28900,0,963.3,26.679,13.849,80.051,313.235,368.381,0
rabbitmq,128,5000,30,59424,59424,0,1980.8,3800.015,3890.204,6860.7,6878.603,6893.783,0
rabbitmq,128,10000,30,59104,59104,0,1970.1,3515.084,4263.908,5559.724,5727.933,5802.588,0
rabbitmq,1024,1000,30,28680,28680,0,956.0,26.258,14.389,84.614,287.447,447.136,0
rabbitmq,1024,5000,30,45373,45373,0,1512.4,4180.614,5109.651,7207.394,7281.981,7320.268,0
rabbitmq,1024,10000,30,39111,39111,0,1303.7,2511.303,2371.225,4374.623,4677.653,4717.872,0
rabbitmq,10240,1000,30,29517,29517,0,983.9,15.307,11.956,38.576,68.969,118.966,0
redis_stream,128,1000,15,14672,14672,0,978.1,1.518,1.315,3.069,4.672,14.87,0
redis_stream,128,5000,15,30591,30591,0,2039.4,1.147,0.98,2.051,3.65,49.528,0
redis_stream,128,10000,15,26105,26105,0,1740.3,1.357,1.065,2.89,6.273,29.712,0
redis_stream,1024,1000,15,14188,14188,0,945.9,1.832,1.448,3.822,7.404,33.198,0
redis_stream,1024,5000,15,18996,18996,0,1266.4,1.824,1.47,3.985,6.766,29.872,0
redis_stream,1024,10000,15,22806,22806,0,1520.4,1.719,1.187,3.479,10.713,75.884,0
redis_stream,10240,1000,15,14513,14513,0,967.5,1.712,1.475,3.42,5.097,19.716,0
redis_stream,10240,5000,15,23395,23395,0,1559.7,1.464,1.255,2.72,4.877,24.861,0
redis_stream,10240,10000,15,25670,25670,0,1711.3,1.285,1.189,2.239,3.385,11.581,0
